Date,Days,Treatment,Num.Larv,Conicle
6/17/18,1,27,1093,3
6/17/18,1,27,1093,7
6/17/18,1,27,1093,13
6/17/18,1,27,1093,16
6/17/18,1,27,1093,19
6/17/18,1,27,1093,22
6/17/18,1,29,1093,6
6/17/18,1,29,1093,9
6/17/18,1,29,1093,10
6/17/18,1,29,1093,14
6/17/18,1,29,1093,17
6/17/18,1,29,1093,24
6/17/18,1,31,1093,2
6/17/18,1,31,1093,4
6/17/18,1,31,1093,11
6/17/18,1,31,1093,15
6/17/18,1,31,1093,21
6/17/18,1,31,1093,23
6/17/18,1,32,1093,1
6/17/18,1,32,1093,5
6/17/18,1,32,1093,8
6/17/18,1,32,1093,12
6/17/18,1,32,1093,18
6/17/18,1,32,1093,20
7/2/18,16,27,308,3
7/2/18,16,27,295,7
7/2/18,16,27,239,13
7/2/18,16,27,206,16
7/2/18,16,27,521,19
7/2/18,16,27,239,22
7/2/18,16,29,385,6
7/2/18,16,29,187,9
7/2/18,16,29,232,10
7/2/18,16,29,326,14
7/2/18,16,29,545,17
7/2/18,16,29,407,24
7/2/18,16,31,173,2
7/2/18,16,31,224,4
7/2/18,16,31,225,11
7/2/18,16,31,171,15
7/2/18,16,31,345,21
7/2/18,16,31,158,23
7/2/18,16,32,161,1
7/2/18,16,32,90,5
7/2/18,16,32,289,8
7/2/18,16,32,91,12
7/2/18,16,32,123,18
7/2/18,16,32,205,20
7/9/18,23,27,147,3
7/9/18,23,27,137,7
7/9/18,23,27,201,13
7/9/18,23,27,154,16
7/9/18,23,27,387,19
7/9/18,23,27,156,22
7/9/18,23,29,154,6
7/9/18,23,29,96,9
7/9/18,23,29,150,10
7/9/18,23,29,179,14
7/9/18,23,29,225,17
7/9/18,23,29,156,24
7/9/18,23,31,40,2
7/9/18,23,31,112,4
7/9/18,23,31,76,11
7/9/18,23,31,46,15
7/9/18,23,31,48,21
7/9/18,23,31,112,23
7/9/18,23,32,29,1
7/9/18,23,32,8,5
7/9/18,23,32,49,8
7/9/18,23,32,8,12
7/9/18,23,32,34,18
7/9/18,23,32,27,20
7/13/18,27,27,31,3
7/13/18,27,27,75,7
7/13/18,27,27,126,13
7/13/18,27,27,85,16
7/13/18,27,27,53,19
7/13/18,27,27,92,22
7/13/18,27,29,49,6
7/13/18,27,29,23,9
7/13/18,27,29,100,10
7/13/18,27,29,121,14
7/13/18,27,29,25,17
7/13/18,27,29,91,24
7/13/18,27,31,13,2
7/13/18,27,31,69,4
7/13/18,27,31,42,11
7/13/18,27,31,29,15
7/13/18,27,31,22,21
7/13/18,27,31,86,23
7/13/18,27,32,0,1
7/13/18,27,32,0,5
7/13/18,27,32,18,8
7/13/18,27,32,1,12
7/13/18,27,32,2,18
7/13/18,27,32,11,20
